n,clase,numero_base,rID,url_caso,n_imagenes,archivos,autor_cita,fecha_acceso,licencia_declarada,licencia_verificada,version_confirmada,revisado_por,notas
1,chiari,1,56514,https://radiopaedia.org/cases/chiari-i-malformation-with-syrinx-1?lang=us,2,chiari_1a.jpeg; chiari_1b.jpeg,Elfeky M,28 Mar 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
2,chiari,2,57986,https://radiopaedia.org/cases/chiari-i-malformation-with-syrinx-2?lang=us,3,chiari_2a.jpeg; chiari_2b.png; chiari_2c.png,Knipe H,28 Mar 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
3,chiari,3,71310,https://radiopaedia.org/cases/chiari-i-malformation-with-syrinx-3?lang=us,3,chiari_3a.jpg; chiari_3b.jpg; chiari_3c.jpg,Haouimi A,28 Mar 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
4,chiari,4,75171,https://radiopaedia.org/cases/chiari-i-malformation-with-syrinx-4?lang=us,2,chiari_4a.jpeg; chiari_4b.jpg,Haouimi A,29 Mar 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
5,chiari,5,24258,https://radiopaedia.org/cases/chiari-i-malformation-with-syrinx-5?lang=us,1,chiari_5a.jpg,Gaillard F,29 Mar 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
6,chiari,6,88168,https://radiopaedia.org/cases/chiari-i-malformation-with-syrinx-6?lang=us,2,chiari_6a.jpg; chiari_6b.jpg,Haouimi A,29 Mar 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
7,chiari,7,91327,https://radiopaedia.org/cases/chiari-i-malformation-with-syrinx-7?lang=us,1,chiari_7a.jpg,Haouimi A,29 Mar 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
8,chiari,8,16632,https://radiopaedia.org/cases/chiari-i-malformation-with-syrinx-8?lang=us,2,chiari_8a.png; chiari_8b.png,Terrazas M,28 Mar 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
9,chiari,9,198037,https://radiopaedia.org/cases/chiari-i-malformation-with-syrinx-10?lang=us,1,chiari_9a.jpeg,Le L,29 Mar 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
10,chiari,10,218109,https://radiopaedia.org/cases/chiari-15-malformation-with-syrinx-1?lang=us,1,chiari_10a.jpg,Al Kabbani A,29 Mar 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
11,chiari,11,3609,https://radiopaedia.org/cases/chiari-i-malformation-3?lang=us,1,chiari_11a.jpeg,Gaillard F,31 Mar 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
12,chiari,12,21023,https://radiopaedia.org/cases/chiari-i-malformation-4?lang=us,1,chiari_12a.jpeg,Abbasi B,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
13,chiari,13,29929,https://radiopaedia.org/cases/chiari-i-malformation-5?lang=us,2,chiari_13a.jpg; chiari_13b.jpg,Gaillard F,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
14,chiari,14,40391,https://radiopaedia.org/cases/chiari-i-malformation-6?lang=us,1,chiari_14a.png,Di Muzio B,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
15,chiari,15,2592,https://radiopaedia.org/cases/chiari-i-malformation-7?lang=us,1,chiari_15a.jpeg,Gaillard F,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
16,chiari,16,56863,https://radiopaedia.org/cases/chiari-i-malformation-8?lang=us,2,chiari_16a.png; chiari_16b.png,Hamidi H,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
17,chiari,17,69649,https://radiopaedia.org/cases/acquired-chiari-i-malformation-by-a-transtentorial-pseudocyst?lang=us,1,chiari_17a.jpeg,Elfeky M,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
18,chiari,18,84242,https://radiopaedia.org/cases/chiari-i-malformation-10?lang=us,1,chiari_18a.png,Aidi F,03 Apr 2026,CC BY-NC-SA (Radiopaedia) — version por confirmar,NO,,,
